Algo-Type,Ticker,SMA1,SMA2,Profit,No. of Trades,Type
SMA-Crossover,AAPL,37,41,30.55191,8,long
SMA-Crossover,MSFT,33,27,17.677576,7,short
SMA-Crossover,AMZN,40,21,22.385172,9,short
SMA-Crossover,TSLA,20,21,62.97499,23,long
SMA-Crossover,GOOG,107,106,19.854578,11,short
SMA-Crossover,BRK.B,39,27,20.367676,9,short
SMA-Crossover,FB,47,49,20.379725,16,long
SMA-Crossover,NVDA,31,29,42.563034,13,short
SMA-Crossover,JPM,84,83,15.485752,5,short
SMA-Crossover,V,127,20,29.849186,5,short
SMA-Crossover,MA,57,48,46.675564,9,short
SMA-Crossover,PFE,55,54,43.836586,12,short
SMA-Crossover,BAC,49,24,21.81384,5,short
SMA-Crossover,KO,30,26,25.916353,12,short
SMA-Crossover,DIS,22,20,15.885432,25,short
SMA-Crossover,MCD,175,25,15.71687,2,short
SMA-Crossover,INTC,71,34,19.591839,7,short
SMA-Crossover,NFLX,102,99,18.562613,3,short
SMA-Crossover,BLK,175,172,16.628325,5,short
SMA-Crossover,BA,71,74,19.618536,15,long
SMA-Crossover,TDOC,52,54,16.102802,7,long
