buy,116.94501
sell,120.9,3.3819265
buy,115.82
sell,115.61,-0.18131505
buy,125.490005
sell,124.0,-1.1873499
buy,124.125
sell,122.91,-0.978849
buy,126.86
sell,187.67,47.93473
buy,183.95999
sell,187.32,1.8264927
buy,185.54001
sell,187.46,1.0348163
buy,185.04
sell,183.11,-1.0430138
buy,174.83
sell,183.65,5.044896
buy,174.33
sell,176.89,1.4684778
buy,175.91501
sell,179.5,2.0379112
buy,176.775
sell,177.07,0.1668864
buy,178.69
sell,178.47,-0.12311894
buy,180.275
sell,185.91,3.1257856
buy,185.04999
sell,174.52,-5.690346
buy,171.13501
sell,172.96,1.0664078
buy,170.155
sell,175.63,3.217658
buy,161.57501
sell,158.43,-1.9464765
buy,157.29001
sell,137.46,-12.607286
buy,136.92001
sell,142.51,4.0826616
buy,132.38501
sell,139.47,5.351808
buy,138.76
sell,139.14,0.27385765
buy,123.600006
sell,119.95,-2.9530818
buy,115.32
sell,115.29,-0.02601351

